施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊への対応可能時間帯,常時の緊急避妊薬の在庫の有無,都道府県,市町村,市町村コード,緯度,経度
"独立行政法人 市立大津
市民病院",520-0804,滋賀県大津市本宮２丁目９－９,077-521-5414,https://www.och.or.jp/,有,"月～木 ９：００～１５：３０
上記以外は救急にて対応可",無,滋賀県,大津市,25201,35.000427,135.87677
"青木レディース・クリ
ニック",520-0241,滋賀県大津市今堅田２丁目２６－５,077-573-5215,http://aoki-ladies.jp/s/,有,"・月曜日～土曜日:9:00～12:00
（祝日を除く）
・月・水・金：17:00～19:00","有（ﾚﾎﾞﾉﾙｹﾞｽﾄﾙ錠1.5mg(1日
1名分のみ）
ﾌﾟﾗﾉﾊﾞｰﾙ錠）",滋賀県,大津市,25201,35.121521,135.920486
"医療法人 せせらき会
浮田クリニック",520-0242,滋賀県大津市本堅田六丁目３６番１号,077-574-3751,https://ukita.gh.jp/,有,"・月・水・金:9:00～12:30
16:30～19:00
・火・木・土：9:00～12:30",有（ﾉﾙﾚﾎﾞ錠1.5mg）,滋賀県,大津市,25201,35.1166,135.90918
青地うえだクリニック,520-0043,滋賀県大津市中央１－１－６,077-522-3940,https://www.aoueda-cl.com,有,"・月～金:9:00～12:00
・月・水・金:17:00～19:00
・土曜9:00～12:00（第１-３・
5のみ）","有 ﾚﾎﾞﾉﾙｹﾞｽﾄﾚﾙ錠1.5mg｢F｣
ﾌﾟﾗﾉﾊﾞｰﾙ ﾔｯﾍﾟ法のみ取り扱
い。在庫あり。",滋賀県,大津市,25201,35.007439,135.864151
"医療法人桂川レディース
クリニック",520-0834,滋賀県大津市御殿浜２１－８,077-511-4135,http://www.katsuragawa-lc.com,有,"・月・水・金 9:00～
12:30/16:00～19:00
・火・木 9:00～12:30/16:00
～17:30
・土 9:00～12:30","有（レボノルゲストレル錠
1.5㎎「F」)",滋賀県,大津市,25201,34.988514,135.897125
"医療法人 竹林ウイメン
ズクリニック",520-2144,滋賀県大津市大萱１丁目１番１号,077-547-3557,https://www.takebayashi-clinic.com,有,２４時間対応,"有（Levonorgestrol LP
1.5mg)",滋賀県,大津市,25201,34.983856,135.920425
中井医院,520-0524,滋賀県大津市和邇今宿５７２－４,077-594-0010,未記載,有,"・月・火・水・金:9:00～11:30
13:30～16:00
・木・土：9:00～11:30",有 ﾚﾎﾞﾉﾙｹﾞｽﾄﾚﾙ錠F｣,滋賀県,大津市,25201,35.154968,135.922287
中井医院,520-0524,滋賀県大津市和邇今宿５７２－４,077-594-0010,未記載,有,"・月・火・水・金:8:30～11:30
13:30～16:00
・木・土：8:30～11:30",有,滋賀県,大津市,25201,35.154968,135.922287
"医療法人若葉会 松島産
婦人科医院",520-0027,滋賀県大津市錦織３丁目６－２２,077-525-0025,http://matsushima.ladies.jp,有,"・月・水・金:9:00～19:30
・火・木・土：9:00～15:00","有 ﾚﾎﾞﾉﾙｹﾞｽﾄﾚﾙ錠1.5mg｢F｣
ﾌﾟﾗﾉﾊﾞｰﾙ ﾔｯﾍﾟ法",滋賀県,大津市,25201,35.02877,135.859558
"たかこレディスクリニッ
ク",520-0832,滋賀県大津市粟津町３－２－３０３,077-534-4031,"http://www.medic-
grp.co.jp/dr/takako-lc",有,"・月・水・金:8:45～12:00,
16:45～19:00
・火・土：8:45～12:00","有 ﾚﾎﾞﾉﾙｹﾞｽﾄﾚﾙ錠1.5mg｢F｣
ﾌﾟﾗﾉﾊﾞｰﾙ ﾔｯﾍﾟ法相談に
より可",滋賀県,大津市,25201,34.980171,135.898209
"社会福祉法人恩賜財団済
生会滋賀県病院",520-3046,滋賀県栗東市大橋２丁目４番１号,077-552-1221,https://www.saiseikai-shiga.jp,有,平日 8:30-17:00,有（ﾉﾙﾚﾎﾞｰ錠1.5mg）,滋賀県,栗東市,25208,35.033474,136.001404
南草津野村病院,525-0059,滋賀県草津市野路１丁目６－５,077-561-3788,"http://www.nomura-magokoro-
med.or.jp/",有,"・平日:9:00～12:00
・月・水・金:17:00～19:00
・土曜:9:00～12:00",有 ﾚﾎﾞﾉﾙｹﾞｽﾄﾚﾙ錠F｣,滋賀県,草津市,25206,35.004967,135.949112
"医療法人産婦人科ハピネ
スバースクリニック",525-0066,滋賀県草津市矢橋町２３３－３,077-564-3101,http://happiness-bc.com,有,"・日～土：9:00～12:00
・月・火・水・金：17:00～
19:30","有 ﾉﾙﾚﾎﾞ錠1.5mg
ﾚﾎﾞﾉﾙｹﾞｽﾄﾚﾙ錠1.5mg｢F｣
ﾌﾟﾗﾉﾊﾞｰﾙ ﾔｯﾍﾟ法",滋賀県,草津市,25206,35.006111,135.928909
"ちばレディースクリニッ
ク",520-3024,滋賀県栗東市小柿５丁目１３－２,077-551-5383,http://www.chiba-lc.com/,有,"・月・火・木:9:30～12:30,
17:30～19:30
・水・金・土・日（祝日含
む）：9:30～12:30","有 ﾚﾎﾞﾉﾙｹﾞｽﾄﾚﾙ錠1.5mg｢F｣
ﾌﾟﾗﾉﾊﾞｰﾙ",滋賀県,栗東市,25208,35.024765,135.972183
"医療法人智林会 山田産
婦人科",525-0025,滋賀県草津市西渋川１丁目２１－１４,077-562-1175,http://www.yamadaclinic.com/,有,"・月・火・水・金・土:9:00～
12:00
・月・水・金：17:00～19:00","有 ﾚﾎﾞﾉﾙｹﾞｽﾄﾚﾙ錠1.5mg｢F｣
ﾌﾟﾗﾉﾊﾞｰﾙ",滋賀県,草津市,25206,35.027222,135.958923
はなだ婦人クリニック,520-3031,滋賀県栗東市綣３－１０－２２,077-551-2175,http://hanada-f-clinic.com/,有,"・平日（除木曜）:9:30-
12:30,17:30～19:30
・土曜:9:30～12:30","有 ﾚﾎﾞﾉﾙｹﾞｽﾄﾚﾙ錠1.5mg｢F｣
ﾌﾟﾗﾉﾊﾞｰﾙ",滋賀県,栗東市,25208,35.036617,135.980164
"医療法人社団渡辺産婦人
科",520-3027,滋賀県栗東市野尻４３５,077-551-1331,http://www.wananabe-cl.or.jp,有,"・平日:9:15～13:00
・月・水・金:17:00～19:30
・土曜:9:15～13:00",無（処方箋）,滋賀県,栗東市,25208,35.034901,135.986771
市立野洲病院,520-2331,滋賀県野洲市小篠原１０９４,077-587-1332,https://www.yasu-hp.jp,有,平日 9:00-11:30,"有 ﾚﾎﾞﾉﾙｹﾞｽﾄﾚﾙ錠F(１錠の
み）
ﾌﾟﾗﾉﾊﾞｰﾙ",滋賀県,野洲市,25210,35.064152,136.023239
坂井産婦人科,524-0044,滋賀県守山市古高町３８３,077-581-0565,https://sakai-clinic.com/,有,"・平日:9:00～12:00
・月・水・金:17:30～19:30
・土曜:9:00～12:00","有 ﾚﾎﾞﾉﾙｹﾞｽﾄﾚﾙ錠1.5mg｢F｣
ﾌﾟﾗﾉﾊﾞｰﾙ",滋賀県,守山市,25207,35.053925,135.978638
公立甲賀病院,528-0014,滋賀県甲賀市水口町松尾１２５６番地,0748-62-0234,https://www.kohka-hp.or.jp/,有,"・平日 8:45～12:00
・土日祝 9:00～17:00（救急
外来にて対応）","有 ﾉﾙﾚﾎﾞ錠1.5mg（２人分の
み）",滋賀県,甲賀市,25209,34.982384,136.178482
"医療法人みのり会濱田ク
リニック",528-0005,滋賀県甲賀市水口町水口５９９２－１,0748-65-3737,http://shiga-hamada-clinic.jp,有,"・月・水・金:9:00～20:00
・火・木:9:00～13:00
・土曜:9:00～13:00","有 ﾉﾙﾚﾎﾞ錠1.5mg
ﾌﾟﾗﾉﾊﾞｰﾙ ﾔｯﾍﾟ法）",滋賀県,甲賀市,25209,34.980461,136.192886
"医療法人親愛レディース
クリニック",528-0041,滋賀県甲賀市水口町虫生野１０９８－１,0748-63-3321,http://www.shinai-lc.jp/,有,"・月～土 9:00～12:00
・月・火・水・金 16:30～
19:30","有 ﾚﾎﾞﾉﾙｹﾞｽﾄﾚﾙ錠1.5㎎「F」
ﾌﾟﾗﾉﾊﾞｰﾙ",滋賀県,甲賀市,25209,34.945568,136.156189
"医療法人真心会野村産婦
人科",520-3233,滋賀県湖南市柑子袋６１１,0748-72-6633,"http://www.nomura-magokoro-
med.or.jp/",有,"・平日:9:00～19:00
・土曜:9:00～12:30",有 ﾚﾎﾞﾉﾙｹﾞｽﾄﾚﾙ錠1.5mg｢F｣,滋賀県,湖南市,25211,35.002476,136.072662
太田産婦人科医院,523-0898,滋賀県近江八幡市鷹飼町南３丁目３－５,0748-38-0341,http://www.ohta-lc.com/,有,"・月・水・金:9:00～11:30,
16:30～18:30
・火・木・土：9:00～11:30",有 ﾌﾟﾗﾉﾊﾞｰﾙ等のﾔｯﾍﾟ法,滋賀県,近江八幡市,25204,35.122044,136.105453
"独立行政法人国立病院東
近江総合医療センター",527-8505,滋賀県東近江市五智町２５５,0748-22-3030,https://higashiomi.hosp.go.jp/,有,"・平日 8:30～16:30
・夜間・土・日・祝日：当直医
にて対応","有 ﾉﾙﾚﾎﾞ錠1.5㎎ 1錠
（1日1名分）",滋賀県,東近江市,25213,35.095036,136.230469
"笠原レディースクリニッ
ク",527-0091,滋賀県東近江市小脇町２４０１番地６,0748-22-2101,http://www.kasahara-ladies.com,有,"・月火水金土 8:30～12:30
・月水土 17:00～18:30",無 ﾌﾟﾗﾉﾊﾞｰﾙ ﾔｯﾍﾟ法,滋賀県,東近江市,25213,35.106842,136.186615
"医療法人社団山崎クリ
ニック",521-1225,滋賀県東近江市山路町２９０７,0748-42-1135,無,有,"・月～土曜:9:00～12:00
・月・火・水・金：15:30～
18:00",有 ﾉﾙﾚﾎﾞ錠1.5mg,滋賀県,東近江市,25213,35.184189,136.158676
"医療法人社団常伯会寺井
産婦人科院",521-1222,滋賀県東近江市佐野町６７０,0748-42-0036,,有,"・月・火・水・金・土:8:00～
12:00
・月・金：16:30～19:00",有,滋賀県,東近江市,25213,35.178192,136.174103
"医療法人青葉会神野レ
ディースクリニック ア
リス",522-0057,滋賀県彦根市八坂町２８８８－１,0749-29-9025,http://www.jinno-lc.com,有,"・月～土:9:00～12:00
・月・火・木・金：16:00～
19:00",有 ﾚﾎﾞﾉﾙｹﾞｽﾄﾚﾙ錠1.5mg｢F｣,滋賀県,彦根市,25202,35.256058,136.206726
"医療法人青葉会神野レ
ディスクリニック ソ
フィア",522-0223,滋賀県彦根市川瀬馬場町１０８２－１,0749-25-5566,http://www.jinno-lc.com,有,"・月・金:9:00～12:00, 16:00
～19:00
・火・水・土：9:00～12:00","有 ﾚﾎﾞﾉﾙｹﾞｽﾄﾚﾙ錠1.5mg｢F｣
ﾌﾟﾗﾉﾊﾞｰﾙ ﾔｯﾍﾟ法",滋賀県,彦根市,25202,35.228039,136.22467
医療法人成宮クリニック,529-1313,滋賀県愛知郡愛荘町市９１７－７,0749-42-2620,https://www.narumiya-clinic.or.jp/,有,"・平日:8:45～19:00
・土曜:8:45～12:30","有 ﾚﾎﾞﾉﾙｹﾞｽﾄﾚﾙ錠1.5mg｢F｣
ﾌﾟﾗﾉﾊﾞｰﾙ ﾔｯﾍﾟ法)",滋賀県,愛知郡愛荘町,25425,35.177444,136.212936
はやし婦人クリニック,522-0044,滋賀県彦根市竹ヶ鼻６５８,0749-26-0528,"https://www.hayashi-womens-
clinic.com",有,"・月・火・木・金:9:00～12:00
,16:00～19:00
・水・土：9:00～12:00",有,滋賀県,彦根市,25202,35.242443,136.2435
"医療法人青葉会神野レ
ディスクリニック",522-0063,滋賀県彦根市中央町３－７３,0749-22-6216,http://www.jinno-lc.com,有,"・平日:9:00～12:00, 15:00～
19:00
・土曜:9:00～12:00","有 ﾚﾎﾞﾉﾙｹﾞｽﾄﾚﾙ錠F｣
ﾌﾟﾗﾉﾊﾞｰﾙ",滋賀県,彦根市,25202,35.270191,136.255264
市立長浜病院,526-8580,滋賀県長浜市大戌亥町３１３番地,0749-68-2300,http://www.nagahama-hp.jp,有,"・平日:9:00～17:00
・土・日・祝日 9:00～17：00","有 ﾚﾎﾞﾉﾙｹﾞｽﾄﾚﾙ錠1.5㎎
「F」",滋賀県,長浜市,25203,35.368942,136.287094
佐藤クリニック,526-0033,滋賀県長浜市平方町１２４０番地,0749-65-0100,http://www.sato-clinic.com,有,"・月・火・木・金:9:00～12:30
,16:00～19:30
・土：9:00～12:30",有 ﾉﾙﾚﾎﾞ錠1.5mg,滋賀県,長浜市,25203,35.371326,136.27388
